"station_name","effort_window","effort_start","effort_end","n_receiver_deployments","receivers_used","latitude","longitude"
"GBO",1,2015-12-09 10:35:00,2020-10-19 10:50:00,4,"128112, 128105, 128109, 128114",-34.156817,18.840283
"GBO",2,2020-12-01 09:47:00,2023-05-08 12:35:00,3,"108885, 108887, 128104",-34.156817,18.840283
"GBO",3,2023-06-22 10:32:00,2025-05-09 10:30:00,2,"129602, 128112",-34.156817,18.840283
"GG001",1,2015-10-31 08:14:00,2025-06-24 14:40:00,10,"123198, 120165, 120150, 126037, 133821, 112438, 112384, 119625, 119362",-31.29288,30.01762
"GG002",1,2015-07-14 07:15:00,2023-08-04 09:56:00,8,"120166, 120169, 119625, 126036, 112421, 133822, 112460, 120128",-31.29523,30.02203
"GSB001",1,2015-06-11 12:56:00,2016-11-18 07:30:00,3,"123186, 102286, 102285",-34.69714,19.40543
"GSB001",2,2017-08-09 09:02:00,2019-05-25 14:55:00,4,"112460, 112337, 112385, 131725",-34.69714,19.40543
"GSB001",3,2020-01-25 10:31:00,2025-03-20 09:15:00,8,"126038, 112438, 112386, 119635, 119167, 545743, 547834, 546757",-34.69714,19.40543
"GSB002",1,2015-06-11 12:51:00,2025-03-20 09:55:00,16,"112464, 102291, 112418, 120145, 112466, 112384, 119172, 131728, 120151, 112472, 119171, 120171, 119617, 546760, 547835, 549810",-34.7042,19.40506
"GSB003",1,2015-06-11 12:48:00,2025-03-20 10:26:00,16,"123188, 112350, 112441, 120147, 112473, 112433, 119620, 131729, 120133, 119168, 123192, 123186, 119619, 545742, 551311, 551306",-34.71128,19.40723
"Gamtoos",1,2015-02-25 10:34:00,2025-05-15 12:30:00,9,"120151, 119617, 119101, 119109, 119104, 126029, 123200, 120155, 119172",-33.96095,25.0153
"Gansbaai Harbour",1,2015-06-20 13:10:00,2018-12-10 15:40:00,4,"126266",-34.58333,19.32972
"Gansbaai Harbour",2,2020-07-05,2022-01-15 12:33:00,3,"126266",-34.58333,19.32972
"Goodsheds",1,2015-07-02 14:30:00,2023-11-09 15:08:00,7,"3588, 124031, 112435, 131732, 120135",-33.90755,25.62473333
"Goukou",1,2015-11-14 07:35:00,2024-06-17 13:30:00,8,"119623, 126030, 120160, 119174, 112436, 127950, 112433",-34.36857,21.41443
"Goukou 002",1,2015-02-23,2022-09-01 13:30:00,8,"112474, 120139, 126031, 123203, 119104, 112385, 126040, 112439",-34.35855,21.41646
"Gouritz",1,2015-02-20 10:45:00,2022-09-01 11:39:00,8,"112435, 119616, 126028, 120149, 112466, 112464, 112462, 131726",-34.33984,21.88098
"Great Fish",1,2015-03-12 10:10:00,2021-10-29 09:30:00,6,"120170, 120159, 120151, 112338, 119101, 119625",-33.49089,27.12959
"Great Fish",2,2023-12-01 10:00:00,2025-05-05 15:00:00,2,"128592, 112439",-33.49089,27.12959
"Great Fish 002",1,2017-03-29 14:10:00,2020-06-19 10:30:00,3,"102285, 112345, 120145",-33.48866,27.12586
"Great Fish 003",1,2017-03-29 14:48:00,2023-04-25 13:15:00,5,"123201, 112472, 120168, 123200, 133821",-33.48449,27.11774
"Green Point",1,2015-02-19 06:30:00,2017-01-20,2,"126068, 112804",-30.24681667,30.79086667
"HB001",1,2015-10-16 07:31:00,2016-04-11 10:07:00,1,"102284",-34.04953,18.308
"HB002",1,2015-04-07 07:15:00,2016-04-11 10:19:00,2,"112338, 112385",-34.05317,18.30303
"HB003",1,2015-04-07 06:43:00,2016-04-11 10:32:00,2,"120159, 112386",-34.05652,18.29764
"Harbour MB",1,2016-10-29,2018-03-28,2,"126052",-34.1782667,22.1455333
"Hibberdene",1,2015-06-23 08:30:00,2017-08-15,2,"112439, 127059",-30.5877,30.577717
"Hougham Park",1,2015-02-04,2017-10-21 13:15:00,2,"112808",-33.78306667,25.72906667
"ISR001",1,2016-12-05,2025-01-18 09:56:00,8,"119107, 123255, 130589, 130590, 125567, 123253, 132290, 114023",-27.2497,32.79191667
"ISR002",1,2016-12-05,2025-01-18 09:26:00,8,"102284, 123253, 125565, 132291, 123254, 114023, NA, 119622",-27.2497,32.79741667
"Ifafa",1,2015-03-20,2017-05-03,2,"112375, 127055",-30.465783,30.659333
"Infanta Slip",1,2018-10-03 14:00:00,2021-11-08 10:00:00,2,"NA",-34.422309,20.856942
"JDAM 1",1,2015-06-11 08:30:00,2018-12-10 14:25:00,4,"126260",-34.62888,19.41861
"JDAM 2",1,2015-11-06 08:40:00,2018-12-10 13:55:00,4,"126261",-34.64277,19.42888
"JDAM 2",2,2020-07-05,2021-01-02,2,"126261",-34.64277,19.42888
"JDAM 3",1,2021-02-17,2024-09-02,2,"126261",-34.65422,19.41436
